method,domain,training_seed,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_id,1,endpoint_force_mae_N_h2,0.942611344633624,0.6815738879501285,1.2334054595054023,30,1,,2000,[0.942611344633624]
vision_world_model,test_id,2,endpoint_force_mae_N_h2,0.8979066190644409,0.6462047611611499,1.1714781550248325,30,1,,2000,[0.8979066190644409]
vision_world_model,test_id,0,endpoint_force_mae_N_h3,0.9361290515326308,0.6507589516053408,1.2314378397389254,30,1,,2000,[0.9361290515326308]
vision_world_model,test_id,1,endpoint_force_mae_N_h3,0.9575330225492104,0.6896620254593522,1.2492969666712619,30,1,,2000,[0.9575330225492104]
vision_world_model,test_id,2,endpoint_force_mae_N_h3,0.9240088660821439,0.6651954783041135,1.211424971551688,30,1,,2000,[0.9240088660821439]
vision_world_model,test_id,0,endpoint_force_mae_N_h4,0.954661967418398,0.6676335144310379,1.2462100254975654,30,1,,2000,[0.954661967418398]
vision_world_model,test_id,1,endpoint_force_mae_N_h4,0.977575146120766,0.7051232961584788,1.2713312295793802,30,1,,2000,[0.977575146120766]
vision_world_model,test_id,2,endpoint_force_mae_N_h4,0.9443981453036044,0.6780319751789621,1.2338678450518838,30,1,,2000,[0.9443981453036044]
vision_world_model,test_id,0,endpoint_force_mae_N_h5,0.9576392675518851,0.6817060210325462,1.2468994830280662,30,1,,2000,[0.9576392675518851]
vision_world_model,test_id,1,endpoint_force_mae_N_h5,0.9809924390555049,0.7133466375423035,1.2730028236019595,30,1,,2000,[0.9809924390555049]
vision_world_model,test_id,2,endpoint_force_mae_N_h5,0.9447036471126463,0.6813799576472913,1.2353023391392046,30,1,,2000,[0.9447036471126463]
vision_world_model,test_id,0,height_episode_coverage,1.0,1.0,1.0,30,1,,2000,[1.0]
vision_world_model,test_id,1,height_episode_coverage,1.0,1.0,1.0,30,1,,2000,[1.0]
vision_world_model,test_id,2,height_episode_coverage,1.0,1.0,1.0,30,1,,2000,[1.0]
vision_world_model,test_id,0,height_mae_m,0.004261793690449041,0.0032151874495594205,0.005307624097364573,30,1,,2000,[0.004261793690449041]
vision_world_model,test_id,1,height_mae_m,0.0026881365216298338,0.0021543765571767127,0.0032239619299656206,30,1,,2000,[0.0026881365216298338]
vision_world_model,test_id,2,height_mae_m,0.002724378442582545,0.0021649589261910377,0.003221967626421368,30,1,,2000,[0.002724378442582545]
vision_world_model,test_id,0,height_mae_m_h1,0.003399738570054372,0.002642189839767525,0.004092531218030975,30,1,,2000,[0.003399738570054372]
vision_world_model,test_id,1,height_mae_m_h1,0.0021289733839027275,0.0017009416453236351,0.002564267261978076,30,1,,2000,[0.0021289733839027275]
vision_world_model,test_id,2,height_mae_m_h1,0.0024231367055068,0.00195986981834479,0.0028604027206852655,30,1,,2000,[0.0024231367055068]
vision_world_model,test_id,0,height_mae_m_h2,0.00370684911862352,0.002792639900082981,0.004601173911265504,30,1,,2000,[0.00370684911862352]
vision_world_model,test_id,1,height_mae_m_h2,0.002333086489266457,0.0018634350015886917,0.00278140736906385,30,1,,2000,[0.002333086489266457]
vision_world_model,test_id,2,height_mae_m_h2,0.0024731880331415193,0.0019603042585311214,0.002939757184662287,30,1,,2000,[0.0024731880331415193]
vision_world_model,test_id,0,height_mae_m_h3,0.00420808720208394,0.0031353088493811404,0.005301483695953114,30,1,,2000,[0.00420808720208394]
vision_world_model,test_id,1,height_mae_m_h3,0.0026198011647405412,0.0020866552294674977,0.003162686530099664,30,1,,2000,[0.0026198011647405412]
vision_world_model,test_id,2,height_mae_m_h3,0.002660309320393329,0.00209989073513619,0.0031597833166459974,30,1,,2000,[0.002660309320393329]
vision_world_model,test_id,0,height_mae_m_h4,0.004716471714847204,0.003499107576289033,0.005934892961548432,30,1,,2000,[0.004716471714847204]
vision_world_model,test_id,1,height_mae_m_h4,0.003013265586600432,0.002383124623132365,0.003649198799929258,30,1,,2000,[0.003013265586600432]
vision_world_model,test_id,2,height_mae_m_h4,0.0028897294872634424,0.002274904146651453,0.003475615598822413,30,1,,2000,[0.0028897294872634424]
vision_world_model,test_id,0,height_mae_m_h5,0.005277821846636168,0.003934877470598116,0.0066668649073366795,30,1,,2000,[0.005277821846636168]
vision_world_model,test_id,1,height_mae_m_h5,0.003345555983639012,0.0026244105273185094,0.004052953713738437,30,1,,2000,[0.003345555983639012]
vision_world_model,test_id,2,height_mae_m_h5,0.0031755286666076345,0.0024803695404676143,0.0038461981110299846,30,1,,2000,[0.0031755286666076345]
vision_world_model,test_id,0,interval_peak_mae_N,2.556915058824751,1.76435085227357,3.375415214175648,30,1,,2000,[2.556915058824751]
